66	0.000000 0.699616 0.013003 0.699616 0.000000 -0.041573 0.013003 -0.041573 0.000000 
67	0.000000 0.700258 0.012974 0.700258 0.000000 -0.040603 0.012974 -0.040603 0.000000 
68	0.000000 0.700684 0.012562 0.700684 0.000000 -0.040000 0.012562 -0.040000 0.000000 
69	0.000000 0.701365 0.012272 0.701365 0.000000 -0.039508 0.012272 -0.039508 0.000000 
70	0.000000 0.702222 0.011958 0.702222 0.000000 -0.038993 0.011958 -0.038993 0.000000 
71	0.000000 0.703138 0.012099 0.703138 0.000000 -0.038331 0.012099 -0.038331 0.000000 
72	0.000000 0.703832 0.012140 0.703832 0.000000 -0.037651 0.012140 -0.037651 0.000000 
73	0.000000 0.704449 0.012181 0.704449 0.000000 -0.036911 0.012181 -0.036911 0.000000 
74	0.000000 0.705138 0.011898 0.705138 0.000000 -0.036344 0.011898 -0.036344 0.000000 
75	0.000000 0.705685 0.011858 0.705685 0.000000 -0.035970 0.011858 -0.035970 0.000000 
76	0.000000 0.705685 0.011595 0.705685 0.000000 -0.035523 0.011595 -0.035523 0.000000 
77	0.000000 0.706321 0.011776 0.706321 0.000000 -0.034770 0.011776 -0.034770 0.000000 
78	0.000000 0.706577 0.011866 0.706577 0.000000 -0.034257 0.011866 -0.034257 0.000000 
79	0.000000 0.707413 0.011702 0.707413 0.000000 -0.033814 0.011702 -0.033814 0.000000 
80	0.000000 0.708213 0.011664 0.708213 0.000000 -0.033364 0.011664 -0.033364 0.000000 
81	0.000000 0.708633 0.011541 0.708633 0.000000 -0.033154 0.011541 -0.033154 0.000000 
82	0.000000 0.709474 0.010967 0.709474 0.000000 -0.032983 0.010967 -0.032983 0.000000 
83	0.000000 0.710125 0.011088 0.710125 0.000000 -0.032321 0.011088 -0.032321 0.000000 
84	0.000000 0.711041 0.010802 0.711041 0.000000 -0.031892 0.010802 -0.031892 0.000000 
85	0.000000 0.711441 0.010637 0.711441 0.000000 -0.031315 0.010637 -0.031315 0.000000 
86	0.000000 0.711546 0.010323 0.711546 0.000000 -0.031257 0.010323 -0.031257 0.000000 
87	0.000000 0.711672 0.010071 0.711672 0.000000 -0.030855 0.010071 -0.030855 0.000000 
88	0.000000 0.712661 0.009946 0.712661 0.000000 -0.030253 0.009946 -0.030253 0.000000 
89	0.000000 0.713290 0.009822 0.713290 0.000000 -0.029624 0.009822 -0.029624 0.000000 
90	0.000000 0.713801 0.009978 0.713801 0.000000 -0.029312 0.009978 -0.029312 0.000000 
91	0.000000 0.714164 0.009956 0.714164 0.000000 -0.029093 0.009956 -0.029093 0.000000 
92	0.000000 0.714436 0.009836 0.714436 0.000000 -0.028506 0.009836 -0.028506 0.000000 
93	0.000000 0.714640 0.009255 0.714640 0.000000 -0.028269 0.009255 -0.028269 0.000000 
94	0.000000 0.714970 0.009309 0.714970 0.000000 -0.027748 0.009309 -0.027748 0.000000 
95	0.000000 0.715696 0.009182 0.715696 0.000000 -0.027253 0.009182 -0.027253 0.000000 
